EC,NH3N,O2-Dis,TEMP,pH
350,0.02,9.7,15,8.15
330,0.01,8.8,19.5,8.1
340,0.01,7.9,26,8.2
345,0.01,7.8,28,8.2
350,0.02,9,18.5,8.15
320,0.01,9.4,16,8.2
340,0.02,8,24,8.15
320,0.01,8.2,22.5,8.1
340,0.02,7.8,27,8.1
335,0.01,9.4,17.5,8.15
345,0.01,8.5,20,8.15
350,0.02,7.9,27,8.1
340,0.02,9.4,15.5,8.2
325,0.02,8,28,8.1
340,0.01,9,18,8.1
340,0.02,9.2,18,8.15
345,0.02,8,26,8.2
330,0.02,7.9,27,8.15
340,0.01,8,25.5,8.15
350,0.02,8.9,19.5,8.1
350,0.02,7.7,27.5,8.1
340,0.01,8.4,22,8.2
350,0.02,9.6,17,8.2
700,0.0016,12.9,4.54,8.25
590,0.29,8.05,18,8.1
645,0.32,8.5,18,7.8
691,0.33,8.6,12.9,7.8
706,0.19,10.4,8,7.8
644,0.002,11.65,7,8.1
640,0.18,12.9,5,8
435,0.17,9.95,9,7.9
550,0.16,10.15,10,8.1
585,0.08,11.8,15,8.8
505,0.01,7.99,17.3,8
600,0.01,9.9,16,8.5
645,0.13,6.45,19,7.9
635,0.0017,9.9,9.94,7.88
620,0.16,11.25,6,8.1
525,0.0012,11.6,9.18,7.93
678,0.0022,9.9,7.44,7.69
577,0.0029,11.5,8.38,8.14
605,0.07,11.47,12,8.4
619,0.06,11.8,13,8.3
485,0.18,8.45,18,7.9
505,0.31,8.25,17,8
614,0.56,3.6,20,7.8
660,0.13,7.35,19,7.9
582,0.0021,9,19.45,7.94
730,0.002,9.6,17.3,8.2
582,0.0023,8.71,15.18,7.93
610,0.04,9.8,12,7.9
590,0.12,10.95,10,7.9
550,0.003,11.7,8,7.9
504,0.0045,12,7.23,7.9
570,0.12,11.95,5,8.1
587,0.26,10.9,6,7.9
540,0.02,12.05,19,8.7
570,0.003,8.4,16.6,7.7
678,0.05,11.1,20.7,8
649,0.16,8.75,16,7.9
610,0.23,8.8,13,7.9
575,0.14,11.45,5,7.9
450,0.26,10.1,4,7.8
595,0.18,11.75,6,8.3
499,0.0034,10.9,9.1,8
600,0.01,12.15,7,8.1
580,0.05,9.8,11.5,7.4
505,0.09,9.8,12,8
637,0.05,12.2,13,8.7
624,0.14,8.9,18,7.9
600,0.06,13.4,16.4,8.2
562,0.0028,8.61,17.61,8.05
530,0.1,9.1,13,8
660,0.29,7.45,15,7.8
580,0.16,10.65,10,8
480,0.0022,11.1,9.66,8
575,0.21,11.25,4,8.3
610,0.17,11.55,16,7.8
461,0.12,10.66,8,7.3
415,0.0012,10.7,8.33,7.96
480,0.23,11.25,6,8.2
590,0.07,8.8,9,8.2
540,0.05,11.15,8.5,8.2
510,0.01,14.6,11.5,8.8
558,0.12,9.45,15,8.1
609,0.01,9.35,20,8.4
605,0.0064,8.17,19.7,7.92
600,0.14,8.7,16,8.1
517,0.17,9.35,13,7.6
997,0.05,10.3,14.5,7.6
589,0.0019,10.5,10.47,8.04
575,0.12,11.5,7,7.7
595,0.23,10.05,7.5,8
625,0.2,12.7,7,8.1
673,0.05,12.1,10,8.3
589,0.0003,12.2,10.84,7.67
555,0.03,7.8,17,8.2
639,0.0052,8,18.25,8.05
620,0.17,6.85,21,7.8
676,0.05,7.3,22.4,8
605,0.19,12,6,8
640,0.006,11.14,7.9,8.2
615,0.09,11.95,8,8.4
615,0.14,11.41,9,7.9
585,0.08,13.05,12,8.9
575,0.04,8.5,15,8.3
614,0.56,6.8,18.5,7.5
621,0.16,8.4,19,8.2
611,0.0015,11,23.73,8.16
474,0.0043,9.38,14.16,7.98
668,0.29,9.2,11,7.9
650,0.35,8.45,12,7.8
556,0.27,10.2,11.5,7.8
615,0.22,12.15,4,7.9
604,0.39,11.55,4,7.8
560,0.12,12.5,2,8.1
590,0.01,12.8,7,8.3
537,0.22,10.1,11,7.9
660,0.001,15.3,14.1,8.8
590,0.02,9.85,12,8.2
578,0.05,12.85,14,8.9
640,0.11,9.18,16,7.9
597,0.002,10.16,16.6,8.1
642,0.0023,9.31,14.21,8.04
679,0.001,10.9,21.7,8.2
548,0.0067,7.97,20.5,8.19
704,0.08,9.4,21,7.9
546,0.0027,10.3,12.75,7.9
635,0.21,11.35,5,7.9
505,0.24,12.3,4,7.8
658,0.007,12.25,7,8.2
637,0.005,12.11,5,8
602,0.002,12.49,8.5,8.1
614,0.001,11.48,10.3,8.1
588,0.03,13.7,16.8,9
630,0.04,7.85,18,7.9
615,0.29,7.35,14,7.8
600,0.12,11.5,7,8.2
592,0.24,9.95,1.5,8
645,0.001,10.74,16.6,8.4
570,0.4,5.65,18,7.9
680,0.03,12.1,20.9,9
665,0.15,8.1,20,8.1
553,0.003,8,22.4,7.9
625,0.29,7.25,16.5,8.2
590,0.26,9.95,5,8
583,0.0008,11.8,6.99,7.83
500,0.13,7.2,11,8.1
644,0.003,11.1,10.5,8
606,0.08,10.3,13,8.7
564,0.0015,9.79,13.91,7.84
600,0.05,8.1,20,8.1
689,0.5,7.3,14.2,7.9
610,0.19,9.65,6,7.9
629,0.16,10.1,11,8
676,0.28,10,7,7.8
580,0.22,12,4,8.2
610,0.09,9.65,8,8
480,0.12,11.6,8.5,8
514,0.15,11.3,8.4,8
579,0.0015,12.3,7.18,8.09
485,0.2,11.1,9,8
704,0.1,11.3,10.5,7.9
7.8,0.002,11.63,8.8,8.1
560,0.01,9.55,14,8.6
620,0.33,7.35,19,7.8
661,0.29,7.8,19,7.9
660,0.37,7.85,16,7.8
590,0.11,9,10,7.9
590,0.28,9.35,12,7.9
741,0.008,12.6,3.3,7.8
599,0.18,12.3,5,7.9
590,0.001,13.25,6.7,8.2
645,0.25,11.2,8,8.1
518,0.0024,11.2,8.63,8.05
610,0.1,10.55,12,8.5
570,0.02,11.65,8,8.3
570,0.18,11.9,8.5,8.2
560,0.0008,10.4,15.67,8.54
621,0.04,8.05,24,8.2
590,0.17,9,17,7.8
659,0.001,10.27,21.1,8.3
635,0.59,4.9,15.1,7.8
520,0.29,9.65,4,8
670,0.29,12.1,2,8.1
658,0.26,11.9,8,7.9
657,0.2,11,6,7.8
676,0.0008,12.7,6.78,8.05
980,0.18,10.5,11,7.3
565,0.01,9.4,19,8.8
599,0.01,10.85,16,8.6
520,0.17,8.25,16,8.2
788,0.38,6.4,21,7.8
618,0.26,8.95,20,8
604,0.01,8.01,15.3,8
646,0.33,8.6,14,7.8
690,0.05,9.3,10.5,7.4
612,0.16,9.1,12.4,7.9
564,0.29,9.2,8.4,8
607,0.0015,11.7,8.14,8.06
595,0.17,10.6,6,7.8
578,0.32,12.05,10,7.7
620,0.2,12.55,4,8.2
610,0.04,11.6,8,8.5
641,0.05,12.1,10.5,8.3
596,0.03,13.5,11.5,8.3
552,0.0006,13.7,11.34,8.66
654,0.06,13,16.5,8.7
606,0.05,9.86,16,8.9
565,0.05,10.1,15.5,9
475,0.5,6.95,16.5,7.7
652,0.23,7.5,19,7.5
624,0.003,7.59,21.23,7.95
640,0.17,9.85,8,7.9
555,0.13,11.15,10,7.9
602,0.0023,11.8,7.6,7.87
