EC,NH3N,O2-Dis,TEMP,pH
350.0,0.02,9.7,15.0,7.15
340.0,0.01,7.9,26.0,8.2
345.0,0.01,7.8,28.0,8.2
350.0,0.02,9.0,18.5,7.15
320.0,0.01,9.4,16.0,8.2
340.0,0.02,8.0,24.0,7.15
320.0,0.01,8.2,22.5,8.1
340.0,0.02,7.8,27.0,8.1
335.0,0.01,9.4,17.5,7.15
345.0,0.01,8.5,20.0,7.15
350.0,0.02,7.9,27.0,8.1
340.0,0.02,9.4,15.5,8.2
325.0,0.02,8.0,28.0,8.1
340.0,0.01,9.0,18.0,8.1
340.0,0.02,9.2,18.0,7.15
345.0,0.02,8.0,26.0,8.2
330.0,0.02,7.9,27.0,7.15
340.0,0.01,8.0,25.5,7.15
350.0,0.02,8.9,19.5,8.1
350.0,0.02,7.7,27.5,8.1
340.0,0.01,8.4,22.0,8.2
350.0,0.02,9.6,17.0,8.2
244.0,0.0849,9.76,14.9,7.4
645.0,0.32,8.5,18.0,7.5
244.0,0.0849,9.76,14.91,7.4
505.0,0.01,7.99,17.3,8.0
600.0,0.01,9.9,16.0,7.0
244.0,0.0849,9.76,14.91,7.4
244.0,0.0849,9.76,14.91,7.5
244.0,0.0849,9.76,14.9,7.3
660.0,0.13,7.35,19.0,7.9
244.0,0.0849,9.76,14.91,7.4
649.0,0.16,8.75,16.0,7.6
575.0,0.14,11.45,15.0,7.9
624.0,0.14,8.9,18.0,7.9
660.0,0.29,7.45,15.0,7.8
610.0,0.17,11.55,16.0,7.8
558.0,0.12,9.45,15.0,8.1
600.0,0.14,8.7,16.0,8.1
244.0,0.0849,9.76,14.91,7.5
555.0,0.03,7.8,17.0,8.2
620.0,0.17,6.85,21.0,7.8
244.0,0.0849,9.76,14.91,7.2
621.0,0.16,8.4,19.0,8.2
244.0,0.0849,9.76,14.9,7.2
244.0,0.0849,9.76,14.91,7.2
244.0,0.0849,9.76,14.91,7.5
640.0,0.11,9.18,16.0,7.9
244.0,0.0849,9.76,14.91,7.1
244.0,0.0849,9.76,14.91,7.1
244.0,0.0849,9.76,14.91,7.1
630.0,0.04,7.85,18.0,7.9
615.0,0.29,7.35,14.0,7.8
244.0,0.0849,9.76,14.91,7.1
570.0,0.4,5.65,18.0,7.9
665.0,0.15,8.1,20.0,8.1
600.0,0.05,8.1,20.0,8.1
244.0,0.0849,9.76,14.91,7.1
244.0,0.0849,9.76,14.9,7.3
620.0,0.33,7.35,19.0,7.6
244.0,0.0849,9.76,14.91,7.2
244.0,0.0849,9.76,14.9,7.2
590.0,0.17,9.0,17.0,7.8
635.0,0.59,4.9,22.1,7.8
520.0,0.17,8.25,16.0,8.2
244.0,0.0849,9.76,14.91,7.1
