created_at,entry_id,Temp,Turbidity,Dissolved O2,pH,Ammonia,Ntrate
2021-06-25 15:14:09 CET,1,27,100,0,6.05951,0.00013,90
2021-06-25 15:14:28 CET,2,27,100,1.027,6.00049,0,201
2021-06-25 15:14:53 CET,3,27,100,0,6.07766,0.00001,112
2021-06-25 15:15:49 CET,4,27,100,0,6.05043,0.00012,153
2021-06-25 15:18:36 CET,5,27,100,0,6.06858,0.00027,272
2021-06-25 15:18:56 CET,6,27.0625,100,2.12,6.05043,0,203
2021-06-25 15:19:16 CET,7,27,100,6.599,6.05043,0.00039,205
2021-06-25 15:20:12 CET,8,27.0625,100,0,6.05043,0.00016,172
2021-06-25 15:20:32 CET,9,27.0625,100,0.484,6.05951,0,180
2021-06-25 15:20:51 CET,10,27.0625,100,12.366,6.04135,0.00003,256
2021-06-25 15:21:11 CET,11,27,100,18.98,6.05951,0.00022,274
2021-06-25 15:21:31 CET,12,27,100,17.852,6.04135,0.00127,178
2021-06-25 15:21:50 CET,13,27,100,0.897,6.03681,0.00002,294
2021-06-25 15:22:10 CET,14,27,100,0.868,6.03681,0.00045,154
2021-06-25 15:22:29 CET,15,27.0625,100,1.642,6.0822,0.00002,207
2021-06-25 15:23:27 CET,16,27.0625,100,0,6.05951,0,226
2021-06-25 15:23:48 CET,17,27.0625,100,0,6.0822,0,238
2021-06-25 15:24:44 CET,18,27.0625,100,4.66,6.05497,0.00001,144
2021-06-25 15:25:04 CET,19,27,100,0,6.08674,0.00001,219
2021-06-25 15:25:23 CET,20,27.0625,100,0,5.95056,0.00002,202
2021-06-25 15:25:53 CET,21,27.0625,100,0,6.19569,0,143
2021-06-25 15:26:13 CET,22,27.0625,100,0,6.05951,0.00002,173
2021-06-25 15:26:33 CET,23,27.0625,100,0,6.21385,0.00001,159
2021-06-25 15:28:43 CET,24,27.0625,100,15.898,6.04135,0.00072,162
2021-06-25 15:29:03 CET,25,27.0625,100,0.361,6.04135,0.00001,155
2021-06-25 15:29:22 CET,26,27.0625,100,0,6.05043,0.00001,144
2021-06-25 15:30:56 CET,27,27.125,100,0,6.06858,0,160
