Temp,Turbidity,Dissolved_O2,pH,Ammonia
24.875,56,4.767,15.45166,0.12006
24.9375,55,29.54,3.24958,0.06136
24.875,54,2.755,2.66399,0.12987
24.875,54,2.113,2.69122,0.28451
24.9375,54,0,1.76517,0.55658
24.9375,54,3.786,1.09787,1.0027
24.9375,54,0,1.02978,1.57816
24.9375,53,27.241,3.06346,5.39682
24.9375,54,4.361,1.84688,6.07654
24.9375,54,0,2.56412,6.46187
25,53,2.026,2.74116,6.43705
24.9375,53,13.65,2.93635,6.58747
24.9375,53,28.678,2.13741,7.11611
24.9375,53,15.797,2.00576,6.9799
24.9375,54,0,0.44873,7.19917
25,53,2.154,2.033,7.11611
24.9375,53,5.012,1.14327,7.54179
25,53,19.767,2.85918,7.11611
25,54,1.818,3.11339,8.27966
24.875,51,5.231,15.45166,464484.875
24.9375,53,12.019,3.40392,3.5719
25,53,5.158,3.34491,5.47987
24.9375,54,23.277,2.74116,6.68979
24.9375,54,13.041,3.18149,7.54179
24.9375,55,13.506,3.22234,9.53308
24.9375,56,1.47,3.2405,9.87691
25,57,8.922,3.17695,8.67685
25,55,9.691,3.16333,10.31513
25,56,1.553,3.23596,11.43541
25,56,1.73,3.29043,11.43541
25,56,0,3.07708,12.94358
25,56,3.836,3.36306,12.68658
25,56,9.018,3.11793,13.20615
25,56,0,2.21912,12.99564
25,56,0,2.52326,9.87691
25,57,2.995,2.12833,10.64682
25,52,0,2.45063,12.18885
25,52,1.433,2.05116,12.23766
25,52,3.211,3.09524,11.39001
25,52,2.971,2.01484,12.14024
25,50,25.022,2.38254,12.63584
25,50,3.075,2.02846,13.25935
25,50,2.611,2.00122,13.31278
25,50,3.083,2.03754,12.43505
25,53,10.636,3.00899,10.4382
25,50,0,3.00899,12.73754
25,50,2.058,2.51872,13.04793
25,49,0,1.57905,15.90876
25,49,0,1.16596,15.77962
25,49,15.002,2.35984,16.43681
25,49,2.611,2.25543,14.9067
25,49,2.971,1.59267,16.10461
25,49,4.173,0.22175,16.17046
25,49,6.087,1.74247,14.1998
25.0625,50,0,2.19188,17.19403
25,49,0,-0.17772,17.69546
25.0625,49,3.524,1.07063,16.57176
25.0625,49,4.565,0.24445,16.36979
25.0625,48,18.526,1.89682,15.21234
25,48,4.221,1.39294,15.08928
25.0625,48,3.996,1.94221,16.03904
25.0625,48,4.709,2.10109,15.21234
25.0625,48,3.211,0.85274,15.58803
25.0625,48,0,1.86504,16.43681
25.0625,48,20.761,1.43379,17.0536
25.0625,48,19.239,1.59721,17.40702
25.0625,48,5.855,1.56544,17.0536
25.0625,50,0,1.0207,15.97376
25.0625,49,25.502,1.32938,17.2647
25.125,49,0,1.68346,17.91518
25.0625,49,3.764,1.5609,16.17046
25,49,3.7,1.57905,16.9144
25,50,3.171,0.63031,17.98907
25.0625,50,3.94,0.08103,15.84405
25.0625,50,3.636,1.60629,17.19403
25.125,50,0,1.43379,17.69546
25.0625,50,3.812,1.40655,16.84527
25.0625,50,13.256,1.62445,16.84527
25.0625,51,0,0.62123,15.97376
25.0625,51,4.757,1.40655,16.84527
25.0625,51,0,0.65754,16.84527
25.0625,51,2.931,1.57905,16.23662
25.0625,51,0,0.63938,15.90876
25.0625,52,0,0.34432,14.9067
25.0625,51,4.982,1.15688,15.08928
25.125,51,0,0.39879,16.10461
25.0625,50,0,0.63485,16.63968
25.0625,51,5.646,0.36702,16.84527
25.125,50,0,0.27169,16.84527
25.125,49,0,-0.26397,18.66917
25.125,50,0,-0.06877,17.98907
25.0625,50,10.476,0.8709,17.0536
25.125,50,5.246,1.22498,17.8416
25.125,50,5.254,1.33392,17.47865
25.125,50,4.084,0.56221,18.66917
25.125,50,3.956,-0.15502,17.91518
25.125,50,3.908,0.93445,17.91518
25.125,50,0,-0.02338,19.37722
25.0625,51,5.334,1.12965,19.21741
25.125,51,0,0.76649,19.13803
25.125,51,6.992,0.92083,18.98034
25.0625,51,5.959,0.70294,18.43942
25.0625,51,11.261,0.998,18.21275
25.0625,51,0,0.32162,17.76837
25.125,51,5.382,1.41109,18.21275
25.0625,51,4.325,0.10373,19.21741
25.125,51,0,-0.06877,18.82407
25.125,52,25.19,1.5155,18.13785
25.1875,52,5.366,1.13419,17.98907
25.125,51,6.567,0.27169,20.19827
25.125,51,0,0.18998,19.94806
25.0625,53,4.701,-0.01884,17.62286
25.125,51,5.815,0.93899,20.45189
25.125,51,5.494,1.09333,20.88232
25.125,54,5.246,1.37024,16.36979
25.0625,53,5.246,0.28077,19.13803
25.0625,52,15.65,1.2159,20.28243
25.125,53,3.644,1.20228,19.37722
25.125,53,2.41,-0.09601,19.29713
25.125,52,0,-0.02792,20.03108
25.0625,52,28.322,1.43379,19.53849
25.0625,53,16.331,1.32938,21.6821
25.125,53,5.694,-0.23673,21.05722
25.0625,53,5.342,-0.28213,21.1453
25.125,53,4.229,1.15688,22.04821
25.0625,53,14.033,1.08879,20.70897
25.0625,53,5.326,0.19906,21.95605
25.125,54,7.04,1.36116,21.05722
25.0625,54,0,0.56221,21.50154
25.125,54,3.94,1.52912,21.1453
25.0625,54,20.721,1.44741,21.50154
25.125,54,5.831,0.1355,20.03108
25.125,54,0,-0.03246,20.53721
25.125,55,5.374,-0.30028,19.45768
25.0625,55,5.374,-0.36384,19.29713
25.125,54,12.983,0.65754,21.95605
25.125,55,5.358,0.26715,21.3226
25.0625,55,4.461,1.15234,20.53721
25.125,55,5.766,-0.19134,20.96958
25.0625,56,4.012,0.35794,21.86433
25.0625,55,5.783,-0.24581,21.95605
25.0625,55,4.004,-0.78601,21.86433
25.0625,55,0,-0.22765,22.42105
25.0625,56,15.787,0.28985,20.70897
25.125,56,16.491,0.52136,20.36697
25.0625,56,4.485,0.27169,19.059
25.0625,56,5.783,-1.13555,21.41186
25.0625,56,4.213,0.19906,19.61967
25.0625,55,0,-0.10963,21.41186
25.125,55,4.293,0.83458,21.1453
25.0625,55,0,0.95715,21.6821
25.0625,56,5.783,-0.15956,21.6821
